Flow ID,Source IP,Destination IP,Source Port,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
flow-000018,65.209.29.149,30.141.160.245,5221,23,6,07/07/2017 10:00:09 AM,26121.737039808922,1453,0,4059,2594,1412,41,49.57234174763795,8.007696871298752,55,21,48.78860179853427,261.029662170279,282379.51788167434,1982.0439963071228,3763.818602347772,2817.2030955386886,32067.450460462507,498.96705526666875,17275.144673931347,5830.101036445832,803.8618272184843,9805.30956427787,313.75273160918505,62067.4219209717,12421.191110523927,1152.4101207967774,6490.6103230937015,168.54280091082808,0,0,0,0,20,176,14.718330086877046,12.063432382102809,56,1164,238.63282284838678,277.5847755143836,320.99331837958357,2,474,48,3,2,0,0,0,2.8910392438985624,578.79359328603,255.3895909610882,386.0481990660876,0,0,0,0,0,0,7,1563,14,60,1,16384,2,20,167.0339460920752,495.58431306848826,771.8479340119859,0,4713.658870675628,1299.293297984737,12350.867500137752,0,DoS GoldenEye
flow-000019,80.132.253.33,68.89.75.224,41521,80,6,07/07/2017 10:00:09 AM,173854.2108263387,18,9,3270,1093,458,37,565.93587590142,46.16877190195652,199,54,202.81924031422872,67.14528444678692,26895.02370238134,59.70105354932861,4338.529227647337,274.4605121932646,41986.49622582847,132.80002129435303,5548.186438776012,8783.832393920135,1911.3029964595066,29721.401767124433,404.75803736243904,31947.3750359586,2401.244344709696,130.4801398671152,6300.173998923178,149.0754068049256,2,0,0,0,48,125,11.39906849651566,27.425372917285962,24,1472,525.6034570243844,173.78663175349357,2454.8742289005754,0,2,1,2,8,0,0,0,2.195040381397659,439.4391783974746,260.2169621016528,536.8875929046822,0,0,0,0,0,0,19,2483,8,2189,1024,4096,11,20,160.4001053300721,167.00443937261895,792.2010907729508,0,4650.451752548694,211.668187657168,14130.31939177196,0,BENIGN
flow-000020,19.94.225.149,91.21.116.16,63394,53,17,07/07/2017 10:00:10 AM,23958.431421660633,615,0,656,875,800,50,41.62093354688932,2.207696127887604,402,49,729.7000081374133,0.3360334440328461,2159597.446068066,2311.79641921541,1496.670678852503,579.3985937618792,1756.923040194238,163.21678825164648,32825.07115972616,492.48639736270565,753.3907239735976,136.70714300941864,409.33971024992087,4124.4171746009015,999.4735884092056,27.641578107326204,6792.694385306377,336.0486010964875,2,0,0,0,245,288,46.89281011820433,27.609063175342293,23,1230,183.18879346613616,242.7460731330339,3572.002822552884,1,88,14,1,28,0,0,0,2.6788420153809405,684.0933815064382,681.3267131714149,469.81895250632084,0,0,0,0,0,0,3,1047,13,2557,1,16384,11,20,821.512947407441,185.91676461936228,2474.4783657355715,0,1262.543748441911,2.058959691266793,3599.296523896752,0,DoS GoldenEye
flow-000021,100.22.120.90,37.39.227.29,34515,443,6,07/07/2017 10:00:10 AM,121.02250793126373,1,0,3630,1612,59,47,44.72622937272476,272.8573532843455,908,39,336.1476864313516,82.26456070460101,1184.718553503912,1165.30873246486,11226.26253424066,689.8638176732585,4793.201627577158,15.56704144225568,42183.83435503959,1838.7962166888055,1728.7164996792742,9614.296720542205,484.09671395736086,6156.365347825152,6089.056514189731,1164.8952791876127,17684.304526680437,337.9132912467551,2,0,0,0,110,129,9.68021429649439,18.645262443396728,49,705,399.1636325612135,201.8266120656678,1312.9457824565384,0,1,1,0,0,0,0,0,2.4938977515929706,286.2171753541443,373.1320894490807,86.04268075221233,0,0,0,0,0,0,18,2113,2,1439,65535,32768,11,20,694.9818861265426,430.0611985946023,2361.5678677907144,0,198.09412674178571,961.0138945156579,2546.1384791544097,0,PortScan
flow-000022,156.190.212.19,174.218.144.37,2642,8080,0,07/07/2017 10:00:11 AM,21233.663031804674,9,18,101,2322,840,32,93.53157151912438,247.35421406905016,957,58,132.19113061315647,170.26225447846744,34504.30195994956,80.2580832117992,1116.6568712892358,502.44774677720926,2208.9763457015133,318.21512477181835,49031.79758046398,128.38298694412845,1872.4244924873797,800.5572851851205,270.64816765053524,37039.20012183717,6143.110657364283,1071.1303981986416,19417.39047116071,135.78007701712244,2,0,0,0,104,140,30.075055200280538,31.418152370728823,22,626,363.2013304680566,232.89738043883295,499.9869119498889,1,2,1,4,13,0,0,0,2.0393550548556068,297.41046268879734,382.10955561799904,467.0251141093769,0,0,0,0,0,0,19,3983,2,2039,2048,4096,6,20,332.31462535510894,271.23931785968375,1530.5028556730188,0,407.6324477621335,806.5227222476636,4800.941935985304,0,BENIGN
flow-000023,95.208.191.121,85.15.82.95,3947,53,6,07/07/2017 10:00:12 AM,27098.599469958008,16,1,1002,1405,901,40,589.9201837200571,222.81195635999433,443,56,296.36994426116144,111.3116288953808,49383.71323042928,4.970809949835766,10088.214958778693,1736.0262257171803,11546.98162069319,362.6288302075682,26673.37214396856,8267.625365071068,1801.403728022517,8215.480520310372,138.41389861752577,26920.413658227277,7303.667818570797,315.99328350849987,11705.057492394906,252.62408803700822,2,0,0,0,156,360,20.5628540627443,24.193658731381742,61,1439,286.4243185944672,178.1538013014513,2123.852755773715,1,0,0,3,15,0,0,0,1.9822959995794547,447.64893960610044,497.5727674049922,129.53598413640566,0,0,0,0,0,0,17,3038,9,2090,8192,2048,3,20,656.7366645412922,162.59503211234744,2343.072064491142,0,654.3683035917492,1939.6420901570893,9348.896056980966,0,BENIGN
flow-000024,16.54.108.207,90.176.110.97,55466,80,0,07/07/2017 10:00:12 AM,42067.6491927574,1341,0,369,2689,883,49,51.8765301573022,7.685193645237912,1011,20,224.44639219807283,107.77522437487367,1902768.9973419737,185.82835522410494,2205.969638832168,1600.5357758990867,30445.97777429425,352.69279705610177,23650.24962590535,7986.764798518763,1116.2804991877258,11644.861705682904,17.093882969579088,129583.90770880156,393.6450046945498,346.6963686414699,636.9724309240939,256.0011867347655,2,0,0,0,125,24,25.608123030075426,1.9504425043005664,61,775,593.3150614794234,291.27967410901135,124.20590657860711,1,194,25,4,7,0,0,0,1.6368496390846476,409.3576171475502,393.3079481541521,426.76941392397424,0,0,0,0,0,0,13,407,2,2843,2,2048,5,20,93.90071578941838,336.30105911256317,1386.8756359832564,0,4340.711271887527,354.2995788947718,14006.206068410209,0,DoS slowloris
flow-000025,107.40.39.246,67.214.62.217,58596,80,0,07/07/2017 10:00:13 AM,133645.27536495865,15,4,3172,3268,1350,35,666.6659404581457,200.0914550972722,400,45,298.4017237763173,47.78623357284154,30287.200742257988,32.49304380819383,10065.972436869899,2980.0108120758855,27921.05742677452,45.24084764352537,13625.629861672844,462.13561035975124,1301.0232955834315,21734.734266625957,462.83741544035587,17296.804270009383,6949.311258857682,1316.8367385619913,4578.564180447544,347.5602502162284,0,0,0,0,258,234,16.754870780311514,25.319287308667025,26,642,447.7336033449311,147.13952531758645,2298.5987508504004,0,0,0,3,6,0,0,0,0.6829898094211091,462.06915602882674,500.92767913300975,402.1349799249995,0,0,0,0,0,0,14,3948,3,2182,2048,2048,6,20,914.23651595147,406.88314415979323,415.86319135552117,0,744.9592798509735,1053.2475945379192,5298.358346560965,0,BENIGN
flow-000026,144.225.162.69,59.150.124.85,16954,8080,6,07/07/2017 10:00:13 AM,32379.585933621507,12,16,2490,1399,537,40,180.7490489763305,2.268862493442636,1180,34,217.48136836375045,278.110363438892,3107.3427754490863,93.50916665374592,2166.412396532692,304.26248534764954,13305.650977988233,128.38828386025398,13411.799703666478,1468.5751486451145,1606.0517956653268,11620.607072073906,155.65384957800183,28273.942828635372,3777.935173944304,408.93600110030064,6403.996007509226,48.75443733477902,2,0,0,0,182,224,15.116275316405348,31.798268148469145,61,1451,581.4634376187898,170.88641167998117,4049.3634938982746,0,0,1,2,13,0,0,0,2.004029550365828,591.5133156560742,630.5238780090447,198.6014814134449,0,0,0,0,0,0,9,1906,10,1033,2048,1024,13,20,905.8911047877604,384.97235012583945,1714.24746801648,0,1278.2249890463615,604.1210036695901,14773.182317919873,0,BENIGN
flow-000027,39.123.227.188,114.185.40.91,37754,443,17,07/07/2017 10:00:13 AM,95248.95967010788,8,10,245,964,1032,24,159.37093996354483,221.06212348325462,1289,52,196.88964606989725,28.71436665604852,1279.5654437121862,64.55517854388333,4670.92486661959,1640.0922381422101,5277.933258825777,195.45299795275733,36103.04190157288,2746.8068599676635,1975.5710404297747,2200.37418922991,347.5722770237969,15541.488024311982,1676.8959769551473,1076.3966484872644,14148.870903837775,396.50239748087535,1,0,0,0,152,270,29.13015239181725,11.184178462424294,55,1243,422.6449187628584,198.93768204723918,2065.820778791015,0,2,1,0,7,0,0,0,0.6735596068652334,411.43587454496225,140.56753815532895,496.18538406762804,0,0,0,0,0,0,8,3401,8,1635,4096,32768,12,20,324.3337531153756,166.50095652909897,2041.5121700747513,0,4970.696806105838,1323.6783796987572,11376.776638715486,0,BENIGN
